setup_id,setup_date,stock_ticker,day_number,trading_date,stock_price,benchmark_price,stock_return_day,benchmark_return_day,outperformance_day,stock_return_cumulative,benchmark_return_cumulative,outperformance_cumulative,is_outperforming_day,benchmark_ticker,calculation_date
DGE_2024-07-30,2024-07-30,DGE.L,7,2024-08-08,2403.203,765.21,-0.08312264,-0.27498114,0.1918585,-0.578981,-1.664176,1.085195,true,^FTAI,2025-06-26 12:08:33.195
DGE_2024-07-30,2024-07-30,DGE.L,8,2024-08-09,2425.6953,766.24,0.9359356,0.13459942,0.80133617,0.35153574,-1.5318165,1.8833523,true,^FTAI,2025-06-26 12:08:33.197
DGE_2024-07-30,2024-07-30,DGE.L,9,2024-08-12,2450.687,766.99,1.0302901,0.09788056,0.9324096,1.3854477,-1.4354353,2.820883,true,^FTAI,2025-06-26 12:08:33.198
DGE_2024-07-30,2024-07-30,DGE.L,10,2024-08-13,2466.182,767.98,0.6322665,0.12907472,0.50319177,2.026474,-1.3082134,3.3346872,true,^FTAI,2025-06-26 12:08:33.2
MSLH_2025-03-20,2025-03-20,MSLH.L,1,2025-03-21,244.95215,689.12,0.0,-0.9657438,0.9657438,0.0,-0.9657438,0.9657438,true,^FTAI,2025-06-26 12:30:05.616
MSLH_2025-03-20,2025-03-20,MSLH.L,2,2025-03-24,246.95175,689.12,0.81632406,0.0,0.81632406,0.81632406,-0.9657438,1.7820678,true,^FTAI,2025-06-26 12:30:05.62
MSLH_2025-03-20,2025-03-20,MSLH.L,3,2025-03-25,245.95195,693.44,-0.40485707,0.62688756,-1.0317446,0.40816203,-0.34491038,0.7530724,false,^FTAI,2025-06-26 12:30:05.621
MSLH_2025-03-20,2025-03-20,MSLH.L,4,2025-03-26,246.45186,693.81,0.20325452,0.053356472,0.14989805,0.61224616,-0.29173794,0.90398407,true,^FTAI,2025-06-26 12:30:05.623
MSLH_2025-03-20,2025-03-20,MSLH.L,5,2025-03-27,247.95155,696.76,0.6085143,0.4251902,0.1833241,1.2244861,0.13221183,1.0922742,true,^FTAI,2025-06-26 12:30:05.625
MSLH_2025-03-20,2025-03-20,MSLH.L,6,2025-03-28,248.45146,696.62,0.20161538,-0.020095104,0.22171047,1.4285702,0.11209017,1.31648,true,^FTAI,2025-06-26 12:30:05.626
MSLH_2025-03-20,2025-03-20,MSLH.L,7,2025-03-31,244.95215,681.99,-1.4084495,-2.1001413,0.6916919,0.0,-1.9904053,1.9904053,true,^FTAI,2025-06-26 12:30:05.628
MSLH_2025-03-20,2025-03-20,MSLH.L,8,2025-04-01,248.95137,688.38,1.6326543,0.93696606,0.69568825,1.6326543,-1.0720886,2.704743,true,^FTAI,2025-06-26 12:30:05.629
